code,name,profits_2017,profits_2018,profits_2019,profits_2020,profits_2021
002034,旺能环境,234.8166,306.2904,411.4054,522.1813,648.009
002013,中航机电,579.0084,836.7087,960.8608,1074.6885,1271.0082
600461,洪城环境,273.9695,336.0066,488.736,663.9095,820.0381
002046,国机精工,16.374000000000002,22.9067,27.5113,62.2732,127.3822
002049,紫光国微,279.8872,347.9738,405.7618,806.4229,1953.7858
002064,华峰化学,385.4956,445.2214,1841.4822,2279.1322,7936.695
002063,远光软件,172.2726,194.6957,226.7072,262.8851,305.3875
002106,莱宝高科,140.9045,224.9474,281.856,438.0974,491.1284
002060,粤水电,158.1026,200.7486,234.0091,263.5782,328.0235
002080,中材科技,767.2837,934.1414,1379.9655,2051.9411,3373.4023
601872,招商轮船,614.4329,1166.9939,1612.9754,2777.4894,3609.0690000000004
002683,广东宏大,162.6374,214.0407,306.7843,403.7619,480.1989
002179,中航光电,825.3508,953.7607,1071.0869,1439.0824,1990.9974
002436,兴森科技,164.7487,214.7208,291.9167,521.5519,621.49
002154,报喜鸟,25.9288,51.8375,210.0887,366.4965,464.3586
002208,合肥城建,132.7656,247.5496,323.5915,767.6032,876.9206
601918,新集能源,22.1336,261.3298,576.0744,847.1005,2433.9245
601186,中国铁建,16057.235,17935.281000000003,20197.378,22392.982999999997,24690.556
002266,浙富控股,86.5366,109.8456,161.3265,1361.9756,2311.839
002226,江南化工,81.7456,219.4319,404.6457,446.8419,1052.6635
002271,东方雨虹,1238.8368,1508.2213,2065.9447,3388.8701,4204.6995
002371,北方华创,125.6102,233.6917,309.0323,536.9304,1077.41
002230,科大讯飞,434.676,542.066,819.1759,1363.7896,1556.4639
002254,泰和新材,100.0678,156.3597,216.2833,260.6751,965.6587
601995,中金公司,2766.3492,3492.1577,4238.7193,7207.4525,10777.7131
601888,中国中免,2530.7628,3094.7482,4628.9887,6139.9388,9653.7399
300012,华测检测,133.8983,269.9837,476.3965,577.6105,746.1869
300019,硅宝科技,52.0052,65.1315,131.5646,201.2652,267.6748
300059,东方财富,636.9016,958.6954,1831.2889,4778.1049,8552.9277
300034,钢研高纳,58.1921,106.7787,155.7253,203.6613,304.5998
300015,爱尔眼科,742.5145,1008.9373,1378.921,1723.8053,2323.344
002332,仙琚制药,206.6301,301.363,410.3686,504.5094,615.9428
300122,智飞生物,432.2754,1451.3665,2366.4387,3301.3268,10208.5485
300305,裕兴股份,68.9582,76.2119,94.3683,156.1973,241.2429
002889,东方嘉盛,118.3435,134.7344,151.012,196.8676,236.5769
002414,高德红外,58.4448,132.0714,220.6426,1000.8177,1110.9397
002465,海格通信,293.2842,430.1964,519.4712,585.6238,653.6115
002576,通达动力,3.9207,19.3672,34.2219,89.3012,102.6046
002557,洽洽食品,319.2221,432.8085,603.5255,805.1148,928.6607
300092,科新机电,5.9851,6.8388,43.7348,79.9898,93.4667
002438,江苏神通,62.3996,103.3442,172.0324,216.0335,253.3974
002402,和而泰,178.1037,221.9396,303.3743,396.0176,553.3643
002539,云图控股,104.3917,175.7233,213.2449,498.5555,1231.7239
002738,中矿资源,54.7916,110.8609,140.0402,174.2627,558.2208
002395,双象股份,13.0895,22.2392,30.2829,42.1905,50.4843
002541,鸿路钢构,209.5133,416.0551,559.1164,799.0874,1150.1145
002487,大金重工,41.4995,62.7459,175.6459,465.0229,577.4022
300223,北京君正,6.5011,13.5154,58.6597,73.2005,926.1812
300211,亿通科技,3.6566,4.979,6.343,9.2307,28.4633
601369,陕鼓动力,241.0813,350.288,603.1387,684.8609,857.5558
601177,杭齿前进,10.6108,14.5058,19.7328,83.9147,137.0489
300755,华致酒行,202.701,224.8727,319.4442,373.1681,675.5319
601100,恒立液压,381.9404,836.6435,1296.1998,2253.8746,2693.6
300263,隆华科技,46.0149,135.8406,174.3609,222.2553,290.8947
300257,开山股份,104.3568,120.7611,152.5222,256.003,303.6473
002677,浙江美大,305.1921,377.5251,460.0129,543.5628,664.6834
300327,中颖电子,133.6377,168.2908,189.3298,209.4107,370.6534
300988,津荣天宇,32.1174,43.3582,53.25899999999999,62.3744,73.2127
300260,新莱应材,21.581,38.6264,62.3018,82.5681,169.8111
002645,华宏科技,123.8979,157.0723,179.0047,225.2461,532.0272
300283,温州宏丰,6.3005,20.9717,26.1082,34.9328,60.3343
601117,中国化学,1557.2419,1931.7739,3061.4074,3658.8379999999997,4633.4242
300402,宝色股份,10.5382,14.6377,34.5062,40.4534,52.9153
601677,明泰铝业,351.9661,495.631,917.0047,1070.05,1852.0075
